0,0,0,0,0,0,0,1,0,99
0,0,0,0,0,0,0,1,0,99
0,0,0,0,0,0,1,0,0,99
0,0,0,0,0,0,1,0,0,99
0,0,0,0,0,1,0,0,0,99
0,0,0,1,0,0,0,0,0,99
0,0,0,1,0,0,0,0,0,99
0,0,0,1,0,0,0,0,0,99
0,0,0,1,0,0,0,0,0,99
0,1,0,0,0,0,0,0,0,99
0,1,0,0,0,0,0,0,0,99
0,1,0,0,0,0,0,0,0,99
1,0,0,0,0,0,1,0,0,98
0,0,0,1,2,0,0,0,0,97
1,0,2,0,0,0,0,0,0,97
0,0,1,0,4,0,0,0,0,95
0,11,0,0,1,0,0,0,0,88
0,0,0,1,0,0,0,0,19,80
0,0,1,0,0,0,0,0,19,80
0,0,19,0,1,0,0,0,0,80
0,0,0,0,0,0,0,1,20,79
1,0,0,4,0,4,20,0,0,71
0,30,0,1,0,0,0,0,0,69
0,0,0,2,0,0,0,36,0,62
0,0,0,1,0,0,0,39,0,60
0,35,0,0,0,0,5,0,0,60
0,0,1,0,0,0,40,0,0,59
0,42,0,0,0,3,0,0,0,55
0,0,0,0,0,0,0,1,48,51
0,0,0,41,0,0,0,8,0,51
1,0,0,0,0,0,48,0,0,51
0,0,0,0,0,0,50,0,0,50
0,0,0,0,0,1,49,0,0,50
0,0,0,0,0,1,49,0,0,50
0,0,0,0,4,0,46,0,0,50
0,1,0,15,2,16,16,0,0,50
0,0,0,35,15,0,0,0,0,50
0,0,0,1,0,0,50,0,0,49
0,39,0,11,0,0,0,0,2,48
0,0,0,42,0,1,0,10,0,47
0,0,0,26,0,1,27,0,0,46
38,0,0,17,0,0,0,0,0,45
0,0,0,0,17,0,41,0,1,41
2,6,0,41,0,0,10,0,0,41
0,0,0,58,1,0,0,0,0,41
0,59,0,0,0,0,0,0,1,40
0,48,0,0,0,1,11,0,0,40
60,0,1,0,0,0,0,0,0,39
1,0,0,0,2,35,25,1,1,35
0,0,33,33,0,0,0,0,1,33
0,0,34,34,0,0,0,0,1,31
0,30,0,0,0,1,39,0,0,30
0,0,0,0,0,70,0,0,0,30
70,0,0,1,0,0,0,0,0,29
0,0,0,0,0,0,75,0,0,25
70,0,0,0,4,0,1,0,0,25
1,39,0,35,0,0,0,0,0,25
0,0,0,11,0,1,66,0,0,22
0,20,20,0,20,0,0,0,20,20
0,45,0,39,0,0,0,0,0,16
72,13,0,1,0,0,0,0,0,14
0,37,0,0,0,1,51,0,0,11
0,0,0,0,0,45,45,0,0,10
